Brand,Model,Maximum PDR,Low Light ISO,Low Light EV,Read Noise ISO,Sensor Width,Sensor Height,Pixel Width,Pixel Height,Mount
Sony,a35,9.43,1068,8.42,,23.5,15.6,4912,3264,A
Canon,EOS 600D,8.46,1177,8.56,6400,22.3,14.9,5344,3516,EF-S
Samsung,NX2000,9.13,1159,8.53,,23.5,15.7,5536,3714,NX
Sony,a37,9.51,1063,8.41,,23.5,15.6,4928,3276,A
Canon,EOS 7D,8.73,1170,8.55,3200,22.3,14.9,5360,3515,EF-S
Canon,EOS 20D,8.01,858,8.1,,22.5,15.0,3596,2360,EF-S
Canon,EOS 1200D,8.31,1143,8.51,6400,22.3,14.9,5202,3465,EF-S
Panasonic,Lumix DMC-GM1,9.18,995,8.32,6400,17.3,13.0,4608,3464,Four Thirds
Sony,a550,8.47,992,8.31,,23.5,15.6,4592,3056,A
Sony,a68,9.95,1210,8.6,,23.5,15.6,6024,4016,A
Hasselblad,H6D-50c,12.01,6400,11,3200,43.8,32.9,8272,6200,H
Nikon,D300s,8.86,944,8.24,1600,23.6,15.8,4352,2868,F DX
Canon,EOS 30D,8.17,842,8.07,1600,22.5,15.0,3596,2360,EF-S
Canon,EOS 1100D,8,981,8.29,,22.2,14.8,4352,2874,EF-S
Sony,a450,8.47,980,8.29,,23.4,15.6,4592,3056,A
Panasonic,Lumix DMC-GH3,9.01,970,8.28,,17.3,13.0,4624,3472,Four Thirds
Canon,EOS 100D,8.23,1096,8.45,,22.3,14.9,5208,3476,EF-S
Pentax,K-x,9.17,899,8.17,,23.6,15.8,4299,2885,K
Samsung,NX30,9.18,1088,8.44,,23.5,15.7,5546,3714,NX
Nikon,1 J2,8.47,1305,8.71,,13.2,8.8,3904,2604,1
Samsung,NX20,9.21,1042,8.38,,23.5,15.7,5530,3694,NX
Samsung,NX300,9.46,1031,8.37,,23.5,15.7,5546,3714,NX
Sony,a500,8.33,845,8.08,,23.5,15.6,4272,2848,A
Sony,a77,9.99,1082,8.44,5091,23.5,15.6,6048,4024,A
Pentax,645Z,11.77,5157,10.69,2546,43.8,32.8,8269,6217,645 A
Canon,EOS 650D,8.2,1004,8.33,,22.3,14.9,5280,3528,EF-S
Samsung,NX1000,9.3,990,8.31,,23.5,15.7,5530,3694,NX
Canon,EOS 1Ds,8.07,526,7.39,,35.8,23.8,4082,2718,EF
Samsung,NX1100,9.1,929,8.22,,23.5,15.7,5530,3694,NX
Nikon,D40,7.84,561,7.49,1600,23.7,15.6,3040,2014,F DX
Pentax,K-R,9.02,739,7.89,,23.6,15.8,4299,2885,K
Sony,a65,9.4,933,8.22,,23.5,15.6,6024,4024,A
Canon,EOS 1000D,7.9,704,7.82,,22.2,14.8,3906,2602,EF-S
Panasonic,Lumix DMC-G6,8.43,756,7.92,8045,17.3,13.0,4624,3472,Four Thirds
Panasonic,Lumix DMC-GH2,8.44,769,7.94,12800,17.3,13.0,4760,3472,Four Thirds
Sony,a700,8.75,699,7.8,,24.0,16.0,4288,2856,A
Samsung,NX200,9.25,856,8.1,,23.5,15.7,5528,3662,NX
Sony,a33,9.16,748,7.9,,23.4,15.6,4592,3056,A
Canon,EOS 350D,7.83,622,7.64,,22.2,14.8,3516,2328,EF-S
Panasonic,Lumix DMC-G5,8.39,733,7.87,,17.3,13.0,4624,3472,Four Thirds
Samsung,NX210,9.13,824,8.04,,23.5,15.7,5530,3694,NX
Nikon,D50,7.64,507,7.34,1600,23.7,15.6,3040,2014,F DX
Panasonic,Lumix DMC-G3,7.64,704,7.82,,17.3,13.0,4608,3464,Four Thirds
Nikon,D1H,7.26,348,6.8,1600,23.7,15.5,1995,1304,F DX
Canon,EOS 400D,7.95,626,7.65,,22.2,14.8,3948,2622,EF-S
Panasonic,Lumix DMC-GH1,8.42,601,7.59,,17.3,13.0,4018,3016,Four Thirds
Panasonic,Lumix DMC-GX1,7.62,657,7.72,,17.3,13.0,4608,3464,Four Thirds
Olympus,PEN E-PL2,7.26,586,7.55,,17.3,13.0,4096,3084,Four Thirds
